RecordNo,HBU_Q17
1741,"I think there needs to be more land left as land, for people to walk on in a safe way."
296,I think there should be more land used for parks and outdoor activities
1183,"i think there should be tighter planning laws as many sites are built on and then they add extras after wards which break the law but go un punished, the punishement for breaking it needs to remove ANY profit the law breaker has made or was to make buy breaking the law"
1425,I think there where there is no impact on local wildlife then it should be made easier for the land to be developed. I also think those developers who buy it with intention of not building but increasing the land value there should be a use it or lose it law passed
862,I think there will be lots of companies using these sites to build housing (esp. in London) which is not good for wildlife & the environment
743,I think they should be managed as green belt land or a nature reserve.
2125,I think using brownfield sites is much better as it leaves more natural areas
607,"I think we must take care to protect wildlife first and foremost. IF we must build there then we should try and transplant or do as little damage as possible. I choose solar over wind in my answers as solar is less of an eyesore. But my honest option is that this little island is too full of people, maybe we should be thinking about that, before we build on what's left of free land."
1927,I think we need to develop appropriate sites for their appropriate use
466,I think we need to leave some land undeveloped in order to leave soils some opportunity to regenerate and reduce their over-intensive use.
1280,I think we really need to get into renewable energy and using previously industrialised brownfield sites is the best way to find space for this
1707,"I think we should be doing more to protect wildlife, including that found on brownfield sites."
1655,I think we should be very careful before developing important land. Sectioning areas for redevelopment in an environmentally friendly way is the most important thing.
1479,I think we should build on brownfield sites
267,I think we should ensure that immigration is reduced and anyone that is here illegally should be returned to their own country and then maybe we wouldn't need to build so many houses
947,"I think we should keep those that are rich in wildlife but manage them to be accessible to the public. Those with no benefit to wildlife should be used for social housing, or renewable energy"
513,I think we should look at bringing more housing into town centres to revitalise them and enable people to shop without cars and go to school by bike.
1125,"I think we should try to make new housing, particularly estates, attractive rather than looking ugly, nasty and instrusive"
22,i think wildlife should always be a priority
528,"I think wildlife should always be prioritised, and homes should be either bought back off private landlords or them forced to charge an affordable rent so people have better access to the homes already available. Also, there is lots of homes in the UK that are empty, more should be done to take these homes back for people to live in."
782,"I understand the need for housing and so think all sites should be reviewed and those with no wildlife prioritised for housing, then those with wildlife prioritised for nature."
1606,"I was assuming brownfield was abandoned mills or buildings, which I would prefer to be used for housing."
545,"I was only able to get partial images/pictures, some items non at all. I have checked my download speeds and they seem okay"
2094,I WAS QUITE FLUMMOXED BY THE QUESTIONS
273,I was unaware brownfield sites could be valuable
2124,"I wasn't aware that brownfield sites had often been repossessed by nature! They still need to be thoroughly cleared of rubbish and other dangerous dumped or left material, the removal of toxic waste - I would rather inner city 'brown-field' sites were developed before land on the edge of towns/cities"
1916,I wish that we had more open space to just roam in and that not everything had to be built on / developed / managed.
1902,I wish they would stop building industrial units on them. There is one in our area and a company put planning permission in under the pretence they were going to create an amazing shopping complex for the local area they then used covid as an excuse as to why they cant do that anymore and are now building an industrial unit and houses.
1920,I would always prefer they be left for wildlife but do understand some are needed for housing
1832,I would hope that as many brownfield sites as possible remain undeveloped in an effort to preserve wildlife
135,"I would like to see less housing being built on brownfield sites, it would be better to upgrade/improve existing housing, or reuse old housing sites for new buildings."
1548,I would like to see quality housing building
1218,I would not like any of these sites in my immediate vicinity as I would be worried that they would be turned over to housing which is all very well if it didn't bring cars with it.
378,I would prefer brownfield sites and undeveloped sites to be used in a way that benefits wildlife but if that's not possible I'd like them to be repurposed into sites for renewable sources of energy (preferably while still benefiting wildlife).
585,I would prefer brownfield sites to be used to address housing needs in preference to greenbelt or undeveloped land.
99,I would prefer that these sites are used with a sympathetic development with the community and environment rather than developing green belt land
192,I would prefer them to be built on rather than green field sites
873,I would prefer they had a use which was not heavy industry or housing.
53,I would prefer to see nature reserves with no public access.
2082,I would prefer to use brownfield sites over green in order to enrich the community with varied uses including renovated green spaces for wildlife and locals. Where this cannot be achieved the sites should be used to provide affordable housing preferably social housing
2,I would prioritise preserving wildlife habitats over anything else.
848,I would rather see brown field sites used for housing instead of green belt
1520,I’d prefer investment made into nature reserves
2031,"I’m 33, live in the south east and my first house is going to cost me £350k. If anything, block international developers from buying our houses and give us a shot at owning our own home to contribute to the economy as opposed to paying a mortgage until death."
1478,I’m seeing more and more previously undeveloped sites around me being used for housing - most of it farmland. I would much rather see brownfield sites used for housing needs.
2202,I’m sure there are a lot of brownfield sites in the uk and these should be developed as they are an eyesore to the countryside
2029,I'd like to see more factories to provide jobs.
1161,I'd like to see more of them protected if they're a valuable area for wildlife.
776,I'd love to see far more re-wilding.
708,"I'd prefer to see new housing and other development on most brownfield sites (those low in biodiversity) rather than on good agricultural land, which is a valuable resource which we are just wasting at the moment by concreting it over,"
2193,If a brownfield is used to fit in with the surroundings it’s better but wind farms should be on hills or out at sea.
944,If a site is rich with wildlife it should be managed as a nature reserve.
1113,If already rich in wildlife that should be the first consideration.
1117,"If any area is beneficial to wildlife, it should be protected"
259,"If hanited by wildlife, leave alone."
1560,If housing is built on these sites it should be affordable as a priority.
105,"If housing is going to be built on land that is unoccupied, it should be made to be more affordable"
1678,If it is a home for wildlife then it should be left alone
406,If it’s got rare wildlife in the area you should not build houses or industry on it
598,If no wildlife then where possible used for housing
1313,If on floodplain then let nature have it
2130,If suitable for wildlife should be used for benefits of local community. If not housing so it saves building on green
2070,"If the area is rich in wildlife, developed or not, it should be preserved for wildlife. Any new development, housing or otherwise must be built with large areas of wildlife friendly design."
1470,If the ground is not suited to nature it should be beneficial to the local community
2020,"If the land is full of wildlife then it should be preserved or enhanced to maintain the space and make public areas ie nature reserves, activity centres. Unused land, derelict and waste land should be made into housing estates, or used as solar/wind farms."
1896,If the opportunity to enhance the rich wildlife then that's the way forward. Building on a wildlife enriched area would be unfair to diminish what has ready .are it's home.
574,"If there is rich wildlife then this should be protected in some way. If there isn't then I would like it to be encouraged by making a nature reserve. If local housing is needed, then brownfield sites without wildlife should always be used BEFORE any undeveloped land."
1794,If there is wildlife there it should not be developed into a housing or industrial estate
1121,If there’s wildlife in Abu dance then try and preserve it
1980,If they are close to other housing use for more housing.....clean the rest up as nothing of any importance grows in contaminated sites
676,"If they are going to build housing on them, these should be small affordable homes, apartments and bungalows- not luxury or large family detached properties. Also, if a large housing estate is to be built on them, they should also build schools, doctors surgeries and shops for them too to cut down on traffic having to leave the estate to access these services."
1984,If they contain wildlife they should be protected and encouraged as it benefits all as green spaces do wonders for well being
1908,"If they encourage wildlife but not crime, I'd be happy to seem them locally."
730,If they have acquired a community use - that ia a good thing = but they do need to be safe - which means 'someone' taking responsibility
954,"If they have wildlife, make it accessible to the public and protect the animals and plants. If not, make it into something we could use as a renewable or non-fossils fuel related energy source. I’m surprised that Nuclear Power wasn’t an option, considering that would be, by far, the best use of some of these sites."
777,If this loaded quicker (7 mins is unacceptable - you said my time precious) and was less boring you might have got some honest answers. I simply wanted to get to the end.
1438,iF USED FOR HOUSING THERE SHOULD BE AN EMPHASIS ON tRULY AFFORDABLE HOUSING
1711,"If used for housing, more variety of types of property should be considered e.g. more property suitable for older people not just families."
133,I'm aware housing is needed but sites rich in wildlife should only be used if they can be developed sympathetically with nature
1944,"I'm conscious that I have put housing low on my list of priorities throughout, but I do think brownfield sites should be used before undeveloped ones for housing."
592,I'm in favour of brownfield sites being repurposed BUT the repurposing must be handled sensitively and full consultation should be carried out with both local residents and wildlife experts/authorities.
1051,I'm still not entirely sure what it is.
2119,Important and worth it
920,In a urban environment brownfield sites should be used for housing or industrial use
1265,"In any case, brownfield or not, these sites must be looked after in terms of pollution and litter."
1404,"In urban areas creatively use for housing, community projects ........... in rural situations develop to enhance the environment, create homes for local young people"
1969,Inner city and urban brownfield sites should be used for housing ahead of greenfield development. In rural areas if housing is essential then brownfield is preferable to greenfield but it is not usually available in the required areas. In these cases development more sympathetic to the environment is needed
1757,Inner city brownfield sites should be prioritised for new housing etc. Not Greenfields
1743,Inner city brownfield sites should be used for housing (low rise).
1857,interesting
1887,Interesting and educative
2054,Interesting topic. I wish they'd do more beneficial things to these sites instead of wasting them on pointless housing projects. So many could be turned into beautiful nature attractions.
1209,It doesn't make any sense to keep building on land that is valuable to wildlife when we are losing biodiversity at such an alarming rate
1689,It has educated me on what brownfield sites actually are
1027,"It is a much more complex and involved matter than your survey can represent, with so many factors that do not appear in your survey (and cannot, because of the numbers of such factors involved), so your survey is at best a blunt and inprecice tool."
982,It is better to limit these and unless they are rich in wildlife should be used
182,"It is difficult to generalise on brownfield sites, but in every case, the local opinion of residents, councils, businesses etc. should be taken into account."
1816,It is difficult to make a developer pay all the costs of clearing and cleaning brownfield sites.
334,It is essential to have green space. Building unaffordable housing on these sites is only beneficial to the developers or the wealthy and not the community as a whole
1213,"It is important that the environmental impact is considered and that bio diversity is encouraged. However, affordable housing is important and some brownfield sites may be ideal. The location of sites must be an influence in decision making."
763,"It is important that we don’t build on all available waste land. People need areas to be able to walk, run, cycle, etc."
1028,"It is impossible to answer these questions. Each brownfield site decision should be made depending on the surrounding area. If there is little green area and dense housing then it should be a managed wildlife site or have some agricultural or energy producing function. If there are few house, then it should be built on. Land is so precious in England it should always be managed, no matter how wild it is allowed to be."
1075,It is really nice to see housing estates built with wild areas integrated within the estates for wildlife to continue flourishing. I do think though that more land should be reserved for wildlife than people!
2213,It is strange that you don’t include sites with buildings in the survey. One of the biggest problems with some brownfield sites is the removal of pollution and this needs some serious research but is not a barrier in this century. Too much support is given to development of greenfield sites for housing.
326,It is the first time I have ever heard of a brownfield site.
780,It is vitally important weekend these sites as they are the corridors for nature. We take these corridors away and nature dies.
1536,"It makes sense to use brownfield sites for housing wherever possible, rather than encroaching on more of the countryside."
563,It needs to be a green pollution free use
725,It needs to be nurtured and brought back
1245,"It really depends on each individual site as to what the best use is. Preserving wildlife and generating renewable energy must be priorities, followed by affordable housing."
71,"It seems sensible to develop urban brownfields especially for housing - but it is a different matter in the countryside. Every single site has its own qualities and there should be no blanket policies applied everywhere. Especially in rural areas, local people should be properly consulted and LISTENED TO."
1575,It seems that the answers to previous questions have been ‘fixed’. Lots of IT issues which did not accept my preferred answers.
688,It seems there is little point in filling this in while we have a government with a ‘build build build ‘ ethos. Inevitably this means housing!
1109,It will descend into endless legal challenge and will never progress anywhere.
1692,it would be best if they split some so nature is at your door step
362,It would be better if more brownfield sites where left to revert to nature and ban repurposing of greenfield sites to encourage a greater respect for nature and our dwindling enviroment in the UK
1830,It would be better to try and turn them into something
83,It would be good if the land could be used for some positive purpose.
1091,It would be good to see them all gone. I know there are already plans for some not far from here.
1443,"It would be great if there were some other options, e.g. planting woodland."
1836,"It would be nice to have a site which could be sectioned off for wildlife but also available for recreation and dog walking. The perfect example is Buchan Park, Crawley"
1309,It would be nice to see areas developed to help wildlife flourish
726,It would be nice to see Brownfields utilised in a way that fits in and is a benefit to the local community.
1785,It’s a great idea to take old and damaged areas and do something positive with them
257,It’s a hard decision to make as we are loosing so many beautiful areas to building companies I understand that these are somewhat essential but I was bought up on a semi built up area which slowly became more built up I have moved into a semi rural area and love the fact it isn’t overly developed so I err on the side of no extra development but am torn as I understand it can be essential .
1383,It’s very difficult to comment on a hypothetical area and site!
1061,"Its all about balance. We've especially learnt recently how important green and open spaces are. I appreciate there is a need for housing and industry but I feel for years this has overtaken the social and community need for open spaces, and the global need for greener energy"
696,Its better to use these sites for housing where there is little or no value to wildlife and they can be cleaned up
1766,it's good for the housing crisis
44,It's hard to apply the same logic and rules to all brownfield sites as they are all so diverse.
1753,"It's impossible to generalise, so much depends on whereabouts of brownfield site. Green corridors are important for flora and fauna but space has to be found for housing and industry. Local consultation is a must"
1364,Its mainly due to policy by local authorities as to whether these type of sites are used in a good way and if they could be well developed from housing to nature reserves and used for the local community
1424,It's not something I am particularly bothered about.
527,Its soewhat falsehypotheses - you can't really answer honestly without knowing circumstancs of site and community n thngs like what sort of housing... eg it might be that 'passiv' and genuinely affordable housing were preferable to bio crops ..and also 1-8 markings are impossible whre maybe 2 or 3 options are feasible and teh rest absolutely beyond the pale!
539,"It's unhelpful to talk about brownfield sites without describing them eg dangerous, biodiverse, etc."
590,"just because an area of land is not rich in wildlife, does not mean that this could change with the right land use and management. A feature you don't mention for these sites would be allotments"
196,Just because its a brownfield site it doesnt mean its ok to build on
136,Just hope they get used correctly
55,Just leave all green belt land untouched !!!!
1228,Just leave nature alone to thrive & survive & stop digging it up for man.
812,Just make use of bad land and leave the good land to the wildlife. We need that more than housing.
1200,Just not interested in this survey or Brownfields
973,"Just that I am very much in favour of rewilding, in order to have as much natural diversity as possible."
240,Keep as much green space as possible
1321,Keep as much natural landscape as possible
1040,Keep for wildlife not housing
1397,"Keep green areas, encourage wildlife and wind power is better out at sea as such an eyesore."
855,Keep green sites green .
1418,"Keep it natural, then make it renewable, never about consumption"
2089,Keep sites for wildlife
277,Keep the sites rich in wild life undeveloped
2111,Keep the wildlife in this country a top of a priority as you do housing!
1522,Keep them undeveloped please !!!
1162,Keep these landscapes natural
549,Keep wildlife safe
1021,"Land in the U.K. must be used in a more environmentally friendly way, with nature put at the forefront, including planting trees and having lots of green space. Any housing should be eco friendly, fitted with solar panels and on a scale and design that fits with the local area."
1991,Land is used poorly in the UK. New build properties are low in quality and uninhabited properties owned by overseas individuals or landlords could be sued to house the homeless.
1112,Land is very valuable we need to take care of it and nurture it it should be used to enhance and live with nature.
883,Land needs to be freed up and available for housing: however there should not be too much infill and green belt should be preserved.
124,Land should always be utilised to the best of its ability.
1484,Land should always have a use ie building wildlife energy renewable
428,Land should be assessed for impact to wildlife before any changes are made to it
2145,Land should be developed in accordance with its surroundings and what benefits the surrounding area the most.....not the best funanacially
1675,"Land should be used for what is in demand. If it's houses, build houses. If it's something else, do something else. Let the market decide, not silly planning rules."
1444,Land should be used to protect nature.
84,last few questions were flawed
1632,leave as is
1459,Leave countryside alone. Stop building houses everywhere.
1098,Leave it to nature where possible
1587,"Leave land alone that is not brownfield. Wind farms are too intrusive and can be noisy. Housing not preferred in nice countryside areas, would prefer a user that did not lead to increased pollution, traffic, demand on unsuitable local resources"
101,Leave our country some green areas
820,Leave Scotlands wildlife alone and don't disturb our lands
1201,Leave the way it is.
991,Leave them alone
1974,Leave them alone
86,Leave them alone or rewild.
993,"less houses, more biodiversity"
1733,"Less housing, more renewable energy & focus on nature"
1573,Let them return to nature preferably with public access. Otherwise housing if absolutely necessary.
1366,Living in areas that have no natural spaces is depressing
1048,Local councils SHOULD NOT be overulled by central government as is the case in the fields in front of my house where deer graze in the field and a colony of bats fly around at night. Not since new housing has commenced building work on the fields.
1074,Local gov should offer incentives to small/new starter business to develop brownfield sites
2131,Local people should decide what is best for their community . Best use as a not for profit basis
1169,Local people should have a say in what to do with brownfield sites
2008,Local views should be a first consideration not government set quotas. Should also be based on local needs and local employment opportunities and local affordability
456,"locals should be consulted service needs, to be taken into consideration traffic pollution, wild life, and if housing a scheme that is for social housing given priority"
1581,Look at brownfield sites to develop rather than greenfield
1953,Looking at the current rate of development both in and around cities all green belts are turning to big developments. It has to be stopped before it gets worse.
1448,"lots of new builds around here -please keep advising and advertising for more natural areas, more wilder gardens, more tree planting."
43,Made in to areas for people to enjoy
617,Major cities still need green space open to the public - many benefits
1952,make sure that when you build house's the infrastructure is in place before you start building
117,Make them into country parks
2091,mani brownfoeld can be used for redevelopment
1273,Many are used inappropriately - eg reserved for transport access then after long delays handed to housing developers
41,"Many brownfield sites, near large urban areas, would be better turned into green spaces to add nature and wildlife to heavily built up areas."
313,Maybe the business what are near to this kind of site showld have a decreases in taxe what the pay if they will mentain those filds and they will flourish mabe with new plants and wild life .
1345,Mines and quarries in my local area have been changed to nature reserves and solar generation. It is an improvement but the local youth have taken over some areas to race bikes drug taking and drinking. So not the perfect solution.
1884,Monoculture agriculture is disastrous for biodiversity. There should be more incentives to provide areas for wildlife.
2099,more affordable housing should be a prioity as too many rough sleepers and younger ppl not able to get on the property ladder
1348,More affordable Retirement Flats and Bungalows would free up more Housing for young Families with children
429,"More effort should be put into housing and industry, to make it greener and more wildlife friendly, and more green space should be available to all people (not just dog walkers). Plus people should be more educated to protect and look after wildlife and wild spaces, this in tern will help peoples wellbeing."
553,"More enlightened use of these sites, with reference to potential local flooding."
220,More homes are needed
1850,More housing
1090,More housing is needed
1004,More housing with landscaping and other facilities would be a bonus
1584,More nature reserves and solar set ups would be amazing.
118,More outdoor space should be provided for the public. But also housing too. However if there is wildlife and biodiversity on the brownfield space this should be given over to the local communities for use.
1337,More should be used for the benefit of the whole communities for instance community halls.
1862,More social housing countrywide
506,More the better
1516,More thought given to the decline in hedgehogs and their natural habitats
779,More undeveloped sites should be used for wildlife with public access
2161,More use must be made of brownfield sites. Housing must be moved away from the south east of England and moved to other areas of the country.
1881,Most are nice areas of land
159,"Much depends on local circumstances and needs eg; housing provision, recreational needs etc Schemes must be flexible."
145,much more use of these sites should be enabled.
19,much of it could be managed and used in far better ways than it is currently - people need more open places to visit for fresh air and to get awayfrom it all.
2162,"Much of 'new' housing is very ugly, poor quality. When I look at houses built 70-100+ years ago, the styling is much more attractive; and built to last. So I don't see new housing as being a good option when I think of these."
146,must be developed
2068,"My heart says wildlife and biodiversity is extremely important but so, too, is renewable energy. Different types of the latter have different pros and cons. More genuinely affordable housing is needed. There is plenty if land being used for house building already but with focus on profit. Switch that around to build affordable housing and leave other areas for wildlife and renewable energies."
1628,My idea of what you were referring to as brownfield sites was initially more of disused and abandoned factory/industrial sites rather than just undeveloped/unused land.
2064,My perception and understanding of them has changed after doing this survey
1630,My preference is always nature over building
1604,Nature has a way of repairing itself. Human intervention is often worse than leaving well alone.
1773,Nature needs to progress
882,Nature reserves and energy production far outweighs undeveloped land
451,"Nature reserves are such valuable assets to any community in the UK. Not only do they create jobs and encourage time in nature, but they support biodiversity and can even lead to some ecotourism. Brownfield and undeveloped sites are perfect for nature reserves, even if they aren't already rich in wildlife."
870,Nature reserves should be a priority
2186,Nature reserves that don't do rewinding are often useless
1104,NATURE RESERVES WHEREVER POSSIBLE
1491,Nature will always claim back what was taken from it. The world needs to embrace this and allow nature to thrive
57,natutre
1899,Need for consistency in planning and use of all land
1513,Need green spaces
797,Need to be put to some use to gain benefits whatever they may be to the uk
978,need to encourage bio diversity as much as possible
1569,Need to keep a balance
1975,Needs careful management and not just typical council sign offs to high bidders
54,needs managing carefully into the future.
144,needs to be better defined
494,Needs to be manage more carefully that it is now
571,Needs to be used to provide affordable housing using renewable products
2061,New build houses should have bigger gardens and more consideration for wildlife.
1669,"New housing mainly benefits the developers building them and often there is no provision for a wildlife green space as it means less profit which drive wildlife further away, All new housing porject still do not provision for the environment again due to profit margins, all should be fitted with solar panels and rain harvesting roofing to collect and supply toilet and garden water before using normal resevoir water, this would also help during droubts as the water could eaily be filtered for other uses. New housong project to be forced to include areas on the estate where bird nesting areas and other wildlife should be encouraged (perhaps not accessible to the residents to allow the wildlife to thrive, along with protection as best can be from cats). Brownfield sites should be taken back into the community once they have been standing for more than 7 years as its clear re-purposing will only be required should their be a opportunity for profit, meanwhile now effort has been made to mai"
1602,"New housing needs to blend and respect nature, ban artificial grass for new builds"
2245,Nightmare
318,"No ""one sized fits all"" view - management should depend on community view"
1702,"No brownfield should be left untouched, encouraging nature to grow is never a bad thing"
247,No building should be permitted on brownfield sites on flood plains.
1576,No further comment apart from some brownfield development is needed for more housing but wildlife is important too
841,No further industrial sites
48,No greenfield land should used until all brownfield sites have been used
1168,"No land should be left unused if at all possible, however expensive, when there is such a shortage of housing, and shortage of land for other purposes. The more land used for green energy and food production the better, so that we become self sufficient."
612,"No matter what sites they are, it is still important that they are being maintained so as not to create places for crimes, anti-social behaviours, or pollutions. It is OK to leave the site empty and unused but not OK if it causes negative impacts to the nearby environment."
2028,"No more houses in small villages , more space for wildlife"
1558,No more houses please. Let's grow our industry and agriculture.
2185,No more new housing
1873,"No point in using sites for housing unless suitable infrastructure in place, which often is not the case. Use also depends on surrounding area and how it would be affected."
1878,"No thank you, the only thing is with regards to the last questions (1-8 scale) very hard to answer on a phone, just fiddly and frustrating"
877,no to the sites
2151,"no, quite an interesting topic though"
227,"not a choice I like to make we need biodiversity, we need housing, we need renewal energy so the answer is reduce the human population then we will not need so much"
2183,Not all brown field sites are the same and they shouldn't be treated the same way. If there is to be development on them then it needs to be the right type of development which fits in with the surrounding area and current usage.
1585,"Not all brownfield sites should be used for housing, some sites should be left as they are and planted with wild flowers"
1134,Not an especially good survey design.
328,Not an important matter to me
2118,Not as I expected
1129,Not being familiar with brownfield sites my opinion is that whatever development takes place should be sympathetic to the local population and 100% environmentally friendly
1118,Not enough information to make any kind of judgment.
1225,"not enough options on the questions, wind farms, solar farms etc will very soon be old technology"
999,Not much point asking if you can't place a selection in your chosen place!!
2233,Not something that I am very concerned about.
2123,"Of course we should re-develop brownfield sites but there is plenty of unoccupied properties in the UK, owned solely for investment which should be also acquired for housing"
1460,Old building should be re-possed and made into flats/bedsits & other housing for the homeless
413,on the questions some of the answers would be the same you are not allowing us a choice of answer this does not show a balance as you are preventing this so the answers are being manipulated
1049,"One option that you haven’t outlined is that which a nearby village has adopted - they have created an area of woodland and open green space simply for public enjoyment. It is managed, but isn’t a nature reserve. My own picture of a typical brownfield site is one with the remains or footings of industrial buildings still in place and which should be transformed, with sensitive planning, as quickly as possible to housing, leisure space (or even, as a last resort) industry."
582,Only development should be on brownfield sites
2192,Only that we should redevelop such sites before any greenfield.
661,"Onshore renewable energy production is a blight on the landscape. No new facilities apart from bio-digestion types, should be approved."
2244,Open them up so people can enjoy nature
1730,People need affordable housing. Affordable meaning affordable. Social housing that's decent quality needs to be built.
1120,People need housing but people also need nature so large areas of building is not the way to go and Brown sites can give people the nature they need in already built up areas.
580,Perhaps the term 'brownfield site' needs to be refined and several definitions applied in the same way as you have done in this survey. Most people's idea of a brownfield site is post industrial and only fit for housing or further industry.
1635,Pictures were slow to come and difficult to see so I was unable to give positive answers.
552,Planning is far to complicated to enable redevelopment
39,Play areas
1452,Please build housing with a view to more public transport usage as opposed to estates where car ownership is necessary
1700,"Please do not build on undeveloped sites and protect nature! The new houses being built are not built to last, they are cheap, terrible quality and are not fit for purpose. I would never buy a new build house, especially a new build on a undeveloped piece of land"
372,"Please do not cover every inch of land in the UK with housing. Please stick to brownfield sites and, if necessary, undeveloped sites but leave green belt land alone and other green areas."
937,Please don't develop them
265,Please find a better layout for ranking questions lol
2240,Please give us more points for these surveys
2215,Please stop using farmland and use the brownfield sites instead. But we do not need any more housing! It is ruining our countryside.
1308,Please use brownfield sights before green belt land!!!!!
1106,Prefer undeveloped sites to be left. Humans always mess things up. Better to reuse brownfield land. Always leave undisturbed undeveloped land to nature. Reuse old city buildings to make flats.
1770,Preference would be for brownfield sites that have been left to rot and become eyesores & dangerous for locals to venture into to be used up first.
1380,Problem is always funding v climate awareness
177,"propably best for housing but also schools and hospitals, police etc.!"
765,Protect the future and be responsible for the decisions you make now.Whatever the local councils/government decisions are concerning these areas..remember what you do with them is a legacy.
14,Protect the wildlife as much as possible.
886,Protect wildlife and their environment
1111,Public access is encouraged until development.
2078,Public needs to be kept informed and consulted
434,Quality with security against anti social behaviour
805,Question too simplistic
233,"Questions and answers depend on what kind of Brownfield site it is, you can't generalize."
830,"Questions are not sensible and misleading. Every piece of land is different and will have different attributes - location (near to other resources, housing, industry, etc.) and this survey is too general. What applies to a piece of land in my town of Wolverhampton can produce completely different responses depending on where in the town we are talking about. Now apply that thinking to the remainder of the West Midlands, England, the UK.... every area is different."
487,Questions aren't that clear
1665,Quite confusing
1673,Re industrialisation should be done if at all in away causing least damage to the environment
2231,Really don't know enough about this subject
1103,Really of no interest to me
432,Redevelopment of such land depends on the context
959,Reduce profit margins for developers
980,Reduce the population; give more consideration as to whether there is sufficient water to support the increase in the local populous; consider what effect building has on flooding in the area
1852,"Relatively little of the UK is has been built upon, therefore we have a lot of space. I believe that areas that are especially beneficial to wildlife should be identified and completely preserved, while other areas are set towards helping eliminate the housing and renewable energy crises that we are facing"
199,Reponsises where not as I stated.
1081,Repurpose them for the benefit of nature
2041,Restrict housing to urban areas
1774,Return to nature - end of
1052,Rewild areas. More areas needed for conservation. More areas needed for public to walk/run/cycle in green areas. No more new houses!
474,rewilding should be considered as an option. Use brownfield sites first where available if development absolutely necessary.
1842,Rubbish manipulative
1709,sadly people need housing
1351,Shoul;d be used in preference to greenfield development
109,Should be cleared of pollution before development
1983,should be developed as affordable housing
609,Should be developed for bioderversity or community use
356,Should be first for development.
573,Should be laws made to use up all this land before any other land is used
694,Should be made safe
1786,should be made the most of
1959,Should be secure to prevent asb
1388,"Should be under democratic control of local community. All development to be sustainable & carbon neutral. Sites may be poor in wildlife to begin with, but after removal of hazardous materials, with judicious planting, wildlife will always find ways to take over"
899,should be used as nature reserves too much housing being built in inappropiate places
2165,Should be used before class A arable land
464,Should be used for affordable housing
1127,should be used for the good of the local community. use to be determined locally
1506,Should be used to help nature
680,Should be used to promote nature
493,"Should encourage unused land for agricultural products such as vegetables, fruit and arable farm to be more self sufficient, therefore reduce imports thus reduce carbon footprint."
908,should keep more for plants and wild life before we lose it all
1619,Should look at all options
869,Should preserve sites of use to wildlife and nature and not fill with housing or use them for general development.
1205,Should protect more sites
2071,Should remain undeveloped.
1918,Should use brownfield sites rather than the country side
1512,Should use for housing
1546,Sick of green potential farm land being taken over for housing and solar farms
1036,Silly questions! It depends where you live. If you live in a post industrial area it's very different to if you live in a rural or pretty area.
1372,"Site where there is an abundance of wildlife and wildflowers should remain as they are, either managed or unmanaged. Sites where there is little wildlife should be used carefully for renewable energy and enhanced for wildlife."
385,"Sites rich in biodiversity should be managed by the proper agency. As it happens, I do volunteer work with the county Countryside Management Service, and am very active in this."
1843,Sites rich in wildlife should be preserved for the good of the local plant and animal life. Sites with minimal wildlife would be more valuable if repurposed as a site to generate renewable energy or as a site for affordable housing.
905,"Sites that can be protected for both wildlife and human enjoyment, should be so used. Otherwise, they should be used for the most pressing needs, e.g. housing, renewable energy etc."
1912,Small brownfield sites in inner cities should be used for housing or nature not just left to be used by fly tippers
347,small towns are becoming far too big for the infrastructure available. This needs addressing in my opinion
1744,"solar and wind sites and anaerobic digesters should only be as far away from where people live as possible,"
1867,Solar farms can also be a site of special scientific and nature interest
1239,solar panels are the biggest waste of space and provide very little for the size of the field
1166,some are good others are bad all depends what they use it for
338,"Some large brownfield site should be of multiple use with housing and conservation / wildlife area, It shouldn't be a choice of either or ither"
692,Some of it must be left as nature reserves for flora and fauna
1066,"some of my answers may be ""coloured"" by the fact that my family have a solar farm area on their land,"
1011,Some of the images shown do not look like they should be classed as brown field
1067,Some of these questions seem very poorly thought out and a waste of time completing
2033,Some real tough choices to make in those last questions
1769,Some similar need tobe used for housing
1226,Some sites described as brownfield sites have been reclaimed by nature (e.g. old quarries) do perhaps the definition of 'brownfield' needs revising.
2157,"Sometimes area like this can be used by kids hanging out, that can be a good thing."
1810,"Spaces for wildlife are limited, it would be great to have something like this that is. It going to be built on"
964,still worried about pollution
1747,Stop building houses in the countryside
2003,Stop building houses without low-cost options in over-crowded cities.
903,"Stop building housing, there's plenty of old buildings and unused land in towns and cities. Absolutely no need to build extra housing in the countryside. Especially when the infrastructure doesn't support the current residents, let alone the extra people."
137,Stop building new properties and redevelop existing buildings!!!! Regenerate not destroy
96,Stop building on green belt. Highest possible protection should be given to nature.
365,"Stop building, greenfield sites are being used"
399,"Stop developing in areas where there is not sufficient requirements such as schooling, doctors, sewage space etc."
625,Stop leaving sites unused either make natural sites or useful low impact businesses
808,Stop ruining land. Protect wildlife protect bees ban pesticides and stop building on flood plains
415,"Such sites should be considered as part of local and regional development plans, with services, infrastructure and environmental impact informing decisions"
1768,Supply more social housing as a matter of urgency
1093,Survey too complicated
1163,Thanks I have learned a lot.
1578,"That any development should involve the public and be subject to full transparency about its use, Where it is possible and without some monstrous and cheap development be made available for housing as there is a national housing shortage"
1706,That grid is encouraging really lazy answers. Sorry. I can tell you’re trying to bias the sample.
865,The concern of underlying health issues
1526,The country needs to ensure suitable brown field sites are utilised before use of undeveloped land is considered .
